phi1 phi2 depth orientation nfa octave
1.24075 -0.18591 1573 1 44.2074 0
0.186063 -0.224972 1316 1 45.6226 0
0.693875 -0.264035 1289 1 47.9365 0
0.342313 -0.107785 1292 1 48.84 0
0.186063 -0.146847 1711 -1 53.0875 0
-0.556125 0.00940252 1363 1 46.0338 0
0.30325 -0.18591 1355 -1 52.2126 0
0.264188 -0.224972 1361 1 47.3163 0
0.0688754 -0.18591 1413 -1 47.3968 0
1.22309 -1.16392 1839 -1 8.79188 0
1.34028 -1.12486 1788 -1 15.3137 0
1.30122 -1.0858 1635 1 17.2236 0
1.02778 -1.00767 1715 -1 30.4006 0
1.14497 -1.24205 1691 1 23.5887 0
1.02778 -1.16392 1805 1 24.5614 0
1.26215 -1.04674 1687 1 40.2215 0
1.45747 -1.00767 1621 1 21.9562 0
1.49653 -0.734237 1736 -1 29.9454 0
1.18403 -1.3983 1620 1 37.8455 0
1.30122 -0.92955 1806 1 38.6989 0
1.02778 -1.0858 1818 1 26.0629 0
1.4184 -1.12486 1735 -1 41.8432 0
1.18403 -0.92955 1816 1 44.1045 0
1.14497 -0.851425 1744 -1 43.6966 0
2.82465 -1.00767 1734 -1 42.2264 0
1.22309 -1.04674 1936 -1 33.241 0
0.402779 -0.226425 1738 -1 44.3151 0
1.14497 -1.00767 1654 1 35.6604 0
0.910592 -1.16392 1886 -1 22.1816 0
1.4184 -0.851425 1888 -1 48.2094 0
0.832467 -1.63267 1884 -1 42.8826 0
1.22309 -1.00767 1672 1 43.7456 0
1.18403 -1.0858 1762 -1 48.9207 0
1.22309 -1.20299 1574 -1 37.3677 0
0.988717 -1.0858 1961 1 31.8685 0
1.06684 -0.92955 1575 -1 51.7179 0
1.14497 -1.00767 1951 -1 42.6014 0
1.30122 -0.734237 1535 1 45.2557 0
1.30122 -1.7108 1865 1 37.798 0
1.26215 -1.0858 1533 1 46.6858 0
1.18403 -0.7733 1586 1 44.6121 0
1.22309 -2.06236 1539 1 43.2445 0
0.715279 -1.20299 1560 1 43.6889 0
0.480904 -1.67174 1859 1 46.2066 0
0.910592 -0.92955 1771 1 43.2922 0
1.06684 2.19545 1861 1 46.781 0
-0.417533 -1.0858 1566 1 46.9562 0
0.832467 -0.421737 1563 1 48.1632 0
1.14497 -1.51549 1858 1 46.2517 0
1.65278 1.02358 1545 1 48.895 0
1.26215 -1.00767 1862 1 48.5279 0
1.22309 -0.92955 1566 1 50.7354 0
1.22309 -1.28111 1916 1 46.4173 0
1.22309 -0.890487 1925 1 47.7679 0
1.14497 -1.32017 1541 1 49.7778 0
-0.730033 -1.04674 1875 1 49.8098 0
1.22309 -0.92955 1874 1 51.5404 0
0.675147 -0.341931 2108 1 25.0556 0
1.10483 0.00963185 2106 1 42.2377 0
0.792334 0.0877568 1954 -1 39.8367 0
0.753272 -0.146618 1956 -1 46.2863 0
0.675147 -0.0684932 2214 -1 46.3655 0
1.37827 0.0877568 2042 -1 38.154 0
0.714209 -0.0684932 1919 1 47.1344 0
1.33921 -0.0294307 2038 -1 45.4586 0
0.831397 -0.0684932 2034 -1 51.2443 0
1.4564 0.00963185 2048 -1 43.1914 0
1.57358 -0.263806 2150 -1 39.8038 0
1.22202 -1.70912 2149 -1 28.6044 0
-0.184228 0.0486943 1899 1 46.0915 0
0.401709 -0.0294307 1910 -1 39.8839 0
0.753272 -0.0294307 1898 1 48.4793 0
1.26108 -0.0684932 1773 -1 38.5836 0
0.401709 -1.63099 1776 -1 42.5744 0
2.7064 -0.0294307 1867 -1 45.4735 0
0.597022 -0.263806 1975 1 44.0499 0
1.10483 -1.27943 1909 -1 45.5107 0
1.80796 0.00963185 1927 -1 43.3939 0
0.675147 0.126819 1866 -1 51.1103 0
1.1439 -0.927868 2085 1 11.3814 0
1.4564 -0.0684932 1856 -1 48.0609 0
1.84702 0.322132 2023 1 42.2647 0
0.636084 -0.146618 1773 -1 48.5517 0
2.62827 -2.09974 2087 1 45.7406 0
0.167334 -0.0684932 2224 1 39.2473 0
0.479834 -0.146618 1984 -1 47.7876 0
1.06577 -0.185681 2056 1 41.9001 0
2.23765 -0.0684932 1805 -1 40.1417 0
2.7064 -0.302868 2069 1 49.6062 0
0.909522 -0.0684932 1967 1 46.7181 0
0.675147 2.00182 2065 1 52.2617 0
1.06577 -1.63099 2064 1 39.1185 0
0.636084 0.00963185 2156 -1 49.6106 0
1.4564 0.0877568 2198 1 41.8341 0
0.323278 0.263882 2243 1 37.0506 0
0.557653 0.0685696 2247 1 47.3686 0
0.635778 -0.322055 2107 1 25.2423 0
0.909216 -0.126743 2108 1 45.1564 0
0.362341 0.185757 2193 1 47.0325 0
0.518591 0.146695 2216 -1 47.5173 0
1.26078 0.146695 2107 1 47.3524 0
-3.46578 0.22482 2294 -1 47.3069 0
1.29984 0.0295071 2042 -1 38.1528 0
0.518591 -1.22049 2418 -1 36.183 0
-0.106409 -1.65018 2043 -1 34.7217 0
0.323278 -1.53299 2043 -1 31.2222 0
0.557653 0.185757 2295 -1 49.9983 0
0.127966 0.0295071 2385 -1 43.0426 0
0.401403 0.0295071 2305 1 46.8085 0
0.557653 0.0295071 2384 -1 50.9541 0
0.0889035 -1.65018 2098 1 36.9992 0
-3.50485 1.27951 2043 -1 46.6438 0
0.479528 0.146695 2416 -1 48.1852 0
1.26078 0.53732 2469 -1 27.1183 0
0.596716 -0.204868 2056 1 42.0902 0
0.518591 0.459195 2045 -1 49.9959 0
1.37797 0.107632 2468 -1 39.3628 0
0.909216 -1.88456 2059 1 39.8768 0
2.12015 0.0685696 2065 1 48.1109 0
4.4639 -0.282993 2072 -1 48.4581 0
1.6514 -0.00955541 2049 -1 43.6939 0
0.479528 -0.361118 2066 1 39.5014 0
4.42484 -0.24393 2078 -1 51.1068 0
1.41703 0.185757 2026 1 41.4755 0
1.3389 -0.322055 2024 1 45.977 0
4.19047 0.107632 2025 1 47.7386 0
