phi1 phi2 depth orientation nfa octave
0.919765 -1.03733 1668 1 40.465 1
1.31039 -1.11546 1634 1 31.8593 1
0.99789 -0.95921 1742 -1 39.0112 1
1.31039 -1.19358 1620 1 32.8896 1
1.15414 -1.11546 2384 -1 34.1396 1
0.763515 -0.80296 1984 1 34.8474 1
0.919765 -1.27171 1588 1 42.4551 1
0.99789 -1.03733 2338 1 40.2326 1
-2.98648 -0.412335 1990 1 48.4296 1
1.70102 -1.34983 2302 1 19.0003 1
1.07602 -1.19358 1934 -1 37.2926 1
0.919765 -0.95921 2304 1 49.2874 1
1.23227 -1.34983 2408 -1 40.4208 1
0.763515 -1.27171 2272 -1 38.3538 1
0.919765 -0.95921 2366 1 45.7614 1
0.99789 -0.95921 2428 -1 44.6764 1
0.763515 -0.95921 2440 1 44.5733 1
0.99789 -1.81858 2248 -1 45.0793 1
2.48227 -1.03733 1560 1 47.5547 1
1.85727 -1.19358 2218 1 42.6927 1
0.84164 0.29079 1552 1 44.9031 1
1.23227 -1.11546 1570 -1 43.0908 1
0.21664 -1.27171 2248 -1 46.2049 1
1.15414 -1.34983 2238 -1 48.1039 1
0.919765 -1.81858 1910 1 49.2867 1
0.958904 -0.919765 2136 -1 22.6672 1
1.11515 -0.99789 2120 1 12.4899 1
0.724529 -0.99789 2060 -1 10.899 1
1.19328 -1.31039 2942 -1 3.56961 1
1.03703 -1.15414 2042 1 9.99005 1
1.11515 -1.38852 2086 1 11.6222 1
1.11515 -1.07602 2826 1 26.3524 1
1.03703 -0.919765 2662 1 32.7805 1
1.03703 -1.15414 2620 1 26.4002 1
0.724529 -0.99789 2164 -1 28.9961 1
1.42765 -0.99789 2082 1 42.6757 1
1.11515 -1.15414 2634 -1 12.6184 1
0.958904 -0.99789 2600 1 35.4232 1
0.958904 -1.07602 2182 1 33.3859 1
0.958904 -0.919765 2892 1 39.2876 1
0.880779 -0.919765 2336 1 39.3479 1
1.5839 -1.38852 2302 1 18.6977 1
0.724529 -0.763515 2378 -1 34.1589 1
1.11515 -0.919765 2916 -1 41.9927 1
1.42765 -0.84164 2490 -1 40.2298 1
0.958904 -0.919765 2428 -1 43.6066 1
0.958904 -0.919765 2194 -1 41.2678 1
1.03703 -0.919765 2326 1 39.6243 1
1.03703 -0.99789 2710 1 44.1642 1
0.958904 -0.919765 2366 1 45.6742 1
1.03703 -0.919765 2560 1 43.9215 1
1.03703 -0.919765 2756 1 44.88 1
0.958904 -0.84164 2408 -1 45.5761 1
1.03703 -1.07602 2546 -1 39.4532 1
1.74015 -1.70102 2864 1 34.7879 1
0.724529 -1.31039 2518 1 45.6898 1
1.5839 -1.31039 2224 1 41.3432 1
0.958904 -0.763515 2102 1 48.2567 1
0.880779 -0.919765 2790 -1 48.744 1
0.724529 -1.23227 2272 -1 38.2219 1
1.19328 -1.23227 2686 -1 33.4948 1
1.2714 -0.763515 2220 1 47.2375 1
2.5214 -0.52914 2230 1 49.8214 1
1.11515 -0.919765 2458 -1 50.7108 1
0.958904 -0.607265 2446 1 50.0678 1
0.958904 -0.763515 2246 -1 42.4554 1
1.11515 -8.73227 2686 -1 50.9329 1
0.177654 0.642735 2226 1 51.2013 1
12.6777 7.20523 2288 1 52.7938 1
0.958904 -0.84164 2352 1 51.0824 1
0.880779 -1.07602 2286 1 48.3275 1
0.646404 0.87711 2286 1 50.8826 1
1.19358 -1.35029 2942 -1 3.9035 1
1.27171 -1.35029 3116 -1 -2.41202 1
1.19358 -1.35029 2726 -1 15.9126 1
1.27171 -1.35029 2844 -1 17.4049 1
1.11546 -1.11592 2634 -1 12.9731 1
1.11546 -1.27217 3220 1 15.6241 1
1.11546 -1.27217 3266 -1 16.1649 1
1.19358 -1.50654 3162 1 16.2088 1
1.19358 -1.35029 2666 1 22.9238 1
1.19358 -1.42842 3400 1 14.8485 1
1.19358 -1.27217 2828 1 24.761 1
1.89671 -1.42842 3086 1 17.715 1
1.19358 -1.42842 3412 -1 28.7131 1
